[01-Jan-2018 09:00:22 UTC] PHP Parse error:  syntax error, unexpected '?' in /home/ubuntu/workspace/public/index.php on line 2
[02-Jan-2018 18:11:45 UTC] PHP Catchable fatal error:  Argument 2 passed to getLang() must be of the type array, null given, called in /home/ubuntu/workspace/public/index.php on line 12 and defined in /home/ubuntu/workspace/public/index.php on line 2
[02-Jan-2018 18:11:45 UTC] PHP Stack trace:
[02-Jan-2018 18:11:45 UTC] PHP   1. {main}() /home/ubuntu/workspace/public/index.php:0
[02-Jan-2018 18:11:45 UTC] PHP   2. getLang() /home/ubuntu/workspace/public/index.php:12
[02-Jan-2018 18:12:58 UTC] PHP Catchable fatal error:  Argument 2 passed to getLang() must be of the type array, null given, called in /home/ubuntu/workspace/public/index.php on line 12 and defined in /home/ubuntu/workspace/public/index.php on line 2
[02-Jan-2018 18:12:58 UTC] PHP Stack trace:
[02-Jan-2018 18:12:58 UTC] PHP   1. {main}() /home/ubuntu/workspace/public/index.php:0
[02-Jan-2018 18:12:58 UTC] PHP   2. getLang() /home/ubuntu/workspace/public/index.php:12
[02-Jan-2018 18:14:52 UTC] PHP Catchable fatal error:  Argument 2 passed to getLang() must be of the type array, null given, called in /home/ubuntu/workspace/public/index.php on line 12 and defined in /home/ubuntu/workspace/public/index.php on line 2
[02-Jan-2018 18:14:52 UTC] PHP Stack trace:
[02-Jan-2018 18:14:52 UTC] PHP   1. {main}() /home/ubuntu/workspace/public/index.php:0
[02-Jan-2018 18:14:52 UTC] PHP   2. getLang() /home/ubuntu/workspace/public/index.php:12
[03-Jan-2018 07:00:07 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ';' or '{' in /home/ubuntu/workspace/public/index.php on line 13
[03-Jan-2018 17:51:46 UTC] PHP Parse error:  syntax error, unexpected '$request' (T_VARIABLE) in /home/ubuntu/workspace/public/index.php on line 12
[17-Jan-2018 15:20:43 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting ',' or ';' in /home/ubuntu/workspace/public/index.php on line 4
[17-Jan-2018 16:14:05 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting ',' or ';' in /home/ubuntu/workspace/public/index.php on line 4
[17-Jan-2018 16:15:16 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting ',' or ';' in /home/ubuntu/workspace/public/index.php on line 4
[17-Jan-2018 16:16:00 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting ',' or ';' in /home/ubuntu/workspace/public/index.php on line 4
[17-Jan-2018 16:16:11 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting ',' or ';' in /home/ubuntu/workspace/public/index.php on line 4
[22-Jan-2018 06:58:43 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 96
[23-Jan-2018 04:44:31 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 101
[23-Jan-2018 04:44:35 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 101
[23-Jan-2018 04:45:22 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 101
[24-Jan-2018 12:30:58 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 101
[24-Jan-2018 12:32:13 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 102
[24-Jan-2018 12:37:29 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 69
[24-Jan-2018 12:42:18 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 71
[24-Jan-2018 12:43:36 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:44:15 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:45:25 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:46:28 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:46:36 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:48:25 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 74
[24-Jan-2018 12:48:56 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 72
[24-Jan-2018 12:49:09 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 72
[24-Jan-2018 12:49:22 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 72
[24-Jan-2018 12:50:27 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/public/index.php on line 72
